Factor X,Robot efficiency index
0.374540119,3.154711113
0.950714306,4.999678541
0.731993942,4.281747788
0.598658484,3.7799816
0.15601864,2.466154301
0.15599452,2.367730625
0.058083612,2.172399523
0.866176146,4.569662573
0.601115012,3.835616891
0.708072578,4.041494639
0.020584494,2.113688134
0.969909852,5.063003448
0.832442641,4.486451908
0.212339111,2.677188504
0.181824967,2.614489301
0.18340451,2.510091482
0.304242243,2.935135977
0.524756432,3.575528535
0.431945019,3.305602666
0.29122914,2.796386442
0.611852895,3.838009702
0.139493861,2.468281411
0.292144649,3.021548306
0.366361843,3.195012612
0.456069984,3.583528198
0.785175961,4.278793128
0.199673782,2.68625341
0.514234438,3.561037516
0.592414569,3.996224
0.046450413,2.05852141
0.607544852,3.738662371
0.170524124,2.451633107
0.065051593,1.982765207
0.948885537,4.79408111
0.965632033,4.820982833
0.808397348,4.440231423
0.304613769,2.948016905
0.097672114,2.480633426
0.684233027,4.147741463
0.440152494,3.262767116
0.122038235,2.276273237
0.49517691,3.534722647
0.034388521,1.971142243
0.909320402,4.911107083
0.258779982,2.894283957
0.662522284,3.940649288
0.311711076,2.763819775
0.520068021,3.695591301
0.546710279,3.628676854
0.184854456,2.678344998
0.969584628,4.749311117
0.775132823,4.265460968
0.939498942,4.819021195
0.89482735,4.689180111
0.597899979,3.748693389
0.921874235,4.827907698
0.088492502,2.158715463
0.195982862,2.573710639
0.045227289,2.14771143
0.325330331,3.027434876
0.38867729,3.237193357
0.271349032,2.701582886
0.828737509,4.33280111
0.356753327,3.198027662
0.28093451,2.87603493
0.542696083,3.553239596
0.140924225,2.577887872
0.802196981,4.418158406
0.074550644,2.341581649
0.986886937,4.967412658
0.772244769,4.5228091
0.198715682,2.771681129
0.005522117,1.991669937
0.815461428,4.54354138
0.706857344,4.185109627
0.729007168,4.32388466
0.771270347,4.217318694
0.074044652,2.290739101
0.358465729,3.181239634
0.11586906,2.17173323
0.863103426,4.470984426
0.623298127,3.665971163
0.330898025,2.965753391
0.06355835,2.262429276
0.310982322,3.08318267
0.325183322,2.982959444
0.729606178,4.35168009
0.637557471,3.774662268
0.887212743,4.491299984
0.472214925,3.411090006
0.119594246,2.397189283
0.713244787,4.136464887
0.760785049,4.075610936
0.561277198,3.674919589
0.77096718,4.18245459
0.493795596,3.548354044
0.522732829,3.604858313
0.427541018,3.188635076
0.025419127,2.024870688
0.107891427,2.217752929
0.031429186,2.088019647
0.636410411,4.004745466
0.314355981,2.844495339
0.508570691,3.576116725
0.907566474,4.66967366
0.249292229,2.668589404
0.410382923,3.220445733
0.755551139,4.163129183
0.228798165,2.631029566
0.07697991,2.11115194
0.289751453,3.065726872
0.161221287,2.487190217
0.929697652,4.719120406
0.80812038,4.44575913
0.633403757,3.888978465
0.87146059,4.592284811
0.803672077,4.472432901
0.186570059,2.635460948
0.892558998,4.624626881
0.539342242,3.560444902
0.807440155,4.394815296
0.8960913,4.458081783
0.318003475,2.802491319
0.110051925,2.4668432
0.227935163,2.848302259
0.427107789,3.256419762
0.818014766,4.511699994
0.860730583,4.613316765
0.006952131,2.328744472
0.510747303,3.644199399
0.417411003,3.23944125
0.22210781,2.570769387
0.119865367,2.19895147
0.337615171,3.033191878
0.942909704,4.753094037
0.323202932,2.827383425
0.518790622,3.491714577
0.703018959,4.000902076
0.363629602,3.259602971
0.971782083,5.003510224
0.962447295,4.886544621
0.251782296,2.903341301
0.497248506,3.499482348
0.30087831,2.816506509
0.284840494,3.006833891
0.036886947,2.164551846
0.609564334,3.724968387
0.502679023,3.489003202
0.051478751,2.066874428
0.278646464,2.69765942
0.908265886,4.817415413
0.239561891,2.909627336
0.144894872,2.294827859
0.48945276,3.524655205
